"Emotion","Text"
"Anger","ግን ብዙውን ጊዜ ቁጣችን በራስ ወዳድነት ላይ የተመሠረተ ነው  ሀሳባችን መጥፎ ነው  ግድያም ጭምር ነው "
"Anger","የቁጣ ጩኸት ድንገተኛ ይመስላል"
"Anger","አደጋ ላይ የወደቀውን ከፍተኛ ኢንቬስትሜንት ካየ በኋላ በቁጣ ከመጠን በላይ ምላሽ ሰጠ "
"Anger","በውሳኔው በቁጣ ምላሽ የሰጠ ሲሆን ተከታታይ ተቃውሞዎችን ለመቀጠል አቅዷል "
"Anger","በንዴት ምላሽ ይስጡ "
"Anger","ቁጣውን እየነካው እሷን ተከትሏት ወጣ "
"Anger","እሱ ምንም አላለም ፣ እና እየነደደ ያለውን ንዴቱን ተገነዘበች "
"Anger","ቃላቶቹ በውስጡ የፈላውን ቁጣ ለማብረድ ምንም አላደረጉም "
"Anger","እንባዋን እያባረረች ቁጣ ቆመች "
"Anger","ሌሊቱ እየገፋ ሲሄድ ፍርሃቷ ቁጣ ሆነ "
"Anger","ቁጣ እና ሌሎች ስሜቶች በውስጧ አደጉ "
"Anger","የእርሱ ቁጣ ለማጭበርበር በጣም እውነተኛ ይመስላል"
"Anger","በድጋሜ በእሱ ላይ አተኮረች  ህመም እና ቁጣ በእይታዋ "
"Anger","አስቸኳይነት በውስጣቸው ተነሳ  ከቁጣ ጋር "
"Anger","ተስፋ እና ንዴት በእሷ በኩል ሮጡ  ሰውነቷ ከአስማትው በላይ ይንቀጠቀጣል "
"Anger","በተቆጣጠራት የፊት ለፊት ገፅታ ቁጣ ነደደ "
"Anger","እንደ ፀደይ እምቡጦች አረንጓዴ ንዴት በአይን ተሻገረ "
"Anger","ተበሳጨች  በቁጣ እና በፍርሃት አበደች "
"Anger","እኔ ብቻ የተማርኩት አስፈላጊ ከሆነው የራስ ወዳድነት ቁጣዬ የበለጠ ነው "
"Anger","ንዴቱ እንደ ፍላጎቱ የበረታ ነበር "
"Anger","ቁጣውን ተገነዘበች "
"Anger","ንዴት ወደ እሱ ገባ"
"Anger","ወደ ሰሜን የሚሄደው በሰሜናዊው ሀገር ላይ ቁጣውን እንዲያጠፋ ተደረገ "
"Anger","እሱ በቁጣውም ፈጣን ነው"
"Anger","ንዴቷ ወደ ሃፍረት ተለውጧል"
"Anger"," ሰውነቷን በቁጣ በመያዝ ፊቷን አፋጠጠችው "
"Anger","በደሟ ውስጥ ንዴት ተቃጠለ "
"Anger","እርሱ ዘወትር አይጮኽም ፣ ቁጣውንም ዝም አይለውም"
"Anger","በሰው ኃጢአት ላይ ቁጣ"
"Anger","የቁጣ አስተዳደር ችግሮች."
"Anger","ማንሻ በሚጠብቁ ሰዎች ላይ ቁጣ ይነሳል "
"Anger","የሚያናድዷቸውን ሰዎች ጥፋት ለማግኘት ተጣጣሩ "
"Anger","በቁጣ ተጣብቋል"
"Anger","የጽድቅ ቁጣ"
"",""
"",""
"",""
